benchmark,cwe,marker,fuzz_time,expl_time,total_time,taintpath,exploit,
results/nodemedic/zeroday/dotenv-yaml/dotenv-yaml-0.1.4_NodeMedic,CWE-XYZ,Exited 0,0.,0.,9.221990233,false,false,
results/nodemedic/zeroday/jsrsasign-util/jsrsasign-util-1.0.5_NodeMedic,CWE-XYZ,Exited 0,0.,0.,8.363347917,false,false,
results/nodemedic/zeroday/network/network-0.6.1_NodeMedic,CWE-XYZ,Exited 0,10.882,10.207,48.374742647,true,false,
results/nodemedic/zeroday/broccoli-sri-hash/broccoli-sri-hash-2.1.2_NodeMedic,CWE-XYZ,Exited 0,5.091,0.,51.567476314,false,false,
results/nodemedic/zeroday/awscred/awscred-1.5.0_NodeMedic,CWE-XYZ,Exited 0,0.,0.,9.355140143,false,false,
results/nodemedic/zeroday/toggle-array/toggle-array-1.0.1_NodeMedic,CWE-XYZ,Exited 0,0.,0.,7.647874275,false,false,
results/nodemedic/zeroday/simctl/simctl-2.0.3_NodeMedic,CWE-XYZ,Exited 0,0.,0.,7.499396828,false,false,
results/nodemedic/zeroday/hull.js/hull.js-1.0.3_NodeMedic,CWE-94,Exited 0,0.,0.,9.13929754,false,false,
results/nodemedic/zeroday/hull.js/hull.js-1.0.9_NodeMedic,CWE-94,Exited 0,0.,0.,16.50909606,false,false,
results/nodemedic/zeroday/rsync/rsync-0.6.1_NodeMedic,CWE-XYZ,Exited 0,0.,0.,7.693967141,false,false,
results/nodemedic/zeroday/webpack-dotenv-plugin/webpack-dotenv-plugin-2.1.0_NodeMedic,CWE-XYZ,Exited 0,0.,0.,8.789438094,false,false,
results/nodemedic/zeroday/skn0tt-lambda-local/skn0tt-lambda-local-2.0.3_NodeMedic,CWE-XYZ,Exited 0,0.,0.,8.348163532,false,false,
results/nodemedic/zeroday/gradle-to-js/gradle-to-js-2.0.1_NodeMedic,CWE-XYZ,Exited 0,120.332,0.,145.50753539,false,false,
results/nodemedic/zeroday/dot-access/dot-access-1.0.0_NodeMedic,CWE-XYZ,Exited 0,0.,0.,8.920445088,false,false,
results/nodemedic/zeroday/fulcon/fulcon-2.0.0_NodeMedic,CWE-XYZ,Exited 0,0.,0.,8.902091875,false,false,
results/nodemedic/zeroday/split-ca/split-ca-1.0.1_NodeMedic,CWE-XYZ,Exited 0,0.,0.,7.630494874,false,false,
results/nodemedic/zeroday/aurelia-loader-nodejs/aurelia-loader-nodejs-1.1.0_NodeMedic,CWE-XYZ,Exited 0,0.,0.,9.523693993,false,false,
results/nodemedic/zeroday/split-tests-core/split-tests-core-0.1.0_NodeMedic,CWE-XYZ,Exited 0,0.,0.,8.595724787,false,false,
results/nodemedic/zeroday/angular-jsdoc/angular-jsdoc-1.5.1_NodeMedic,CWE-XYZ,Exited 0,0.,0.,8.488108484,false,false,
results/nodemedic/zeroday/metro-cache-key/metro-cache-key-0.78.0_NodeMedic,CWE-XYZ,Exited 0,0.,0.,8.349360464,false,false,
results/nodemedic/zeroday/find-config/find-config-1.0.0_NodeMedic,CWE-XYZ,Exited 0,0.,0.,9.351950423,false,false,
results/nodemedic/zeroday/tal-page-strategies/tal-page-strategies-2.0.1_NodeMedic,CWE-XYZ,Exited 0,0.,0.,8.472228845,false,false,
results/nodemedic/zeroday/graphql-mesh-plugin-snapshot/graphql-mesh-plugin-snapshot-0.95.1_NodeMedic,CWE-XYZ,Exited 0,0.,0.,9.705330245,false,false,
results/nodemedic/zeroday/gettext.js/gettext.js-2.0.0_NodeMedic,CWE-94,Exited 0,0.,0.,9.225663524,false,false,
results/nodemedic/zeroday/protoc/protoc-1.1.3_NodeMedic,CWE-XYZ,Exited 0,1.538,0.,24.828651403,false,false,
results/nodemedic/zeroday/firstline/firstline-2.0.2_NodeMedic,CWE-XYZ,Exited 0,0.,0.,8.672737167,false,false,
results/nodemedic/zeroday/file-system/file-system-2.2.2_NodeMedic,CWE-XYZ,Exited 0,0.,0.,8.786308326,false,false,
results/nodemedic/zeroday/init/init-0.1.2_NodeMedic,CWE-XYZ,Exited 0,120.215,0.,138.492477814,false,false,
results/nodemedic/zeroday/prepend-file/prepend-file-2.0.1_NodeMedic,CWE-XYZ,Exited 0,0.,0.,8.169124694,false,false,
results/nodemedic/zeroday/mecab-async/mecab-async-0.1.2_NodeMedic,CWE-XYZ,Exited 0,0.,0.,7.978080879,false,false,
results/nodemedic/zeroday/base64topdf/base64topdf-1.1.8_NodeMedic,CWE-XYZ,Exited 0,0.,0.,9.050253594,false,false,
results/nodemedic/zeroday/apib-include-directive/apib-include-directive-0.1.0_NodeMedic,CWE-XYZ,Exited 0,0.,0.,9.45101095,false,false,
results/nodemedic/zeroday/golang-cover-parse/golang-cover-parse-2.0.0_NodeMedic,CWE-XYZ,Exited 0,0.,0.,8.561721389,false,false,
results/nodemedic/zeroday/win-fork/win-fork-1.1.1_NodeMedic,CWE-XYZ,Exited 0,0.,0.,7.609615496,false,false,
results/nodemedic/zeroday/sync-exec/sync-exec-0.6.2_NodeMedic,CWE-XYZ,Exited 0,7.245,15.228,31.572148011,true,false,
results/nodemedic/zeroday/spawn-please/spawn-please-2.0.1_NodeMedic,CWE-XYZ,Exited 0,0.,0.,7.991140078,false,false,
results/nodemedic/zeroday/multiview/multiview-3.0.1_NodeMedic,CWE-XYZ,Exited 0,0.,0.,13.200020872,false,false,
results/nodemedic/zeroday/sha256-file/sha256-file-1.0.0_NodeMedic,CWE-XYZ,Exited 0,0.,0.,7.866194468,false,false,
results/nodemedic/zeroday/smpltmpl/smpltmpl-1.0.2_NodeMedic,CWE-XYZ,Exited 0,0.,0.,9.309579073,false,false,
results/nodemedic/zeroday/aaptjs/aaptjs-1.3.2_NodeMedic,CWE-XYZ,Exited 0,24.475,15.316,53.859850405,true,false,
results/nodemedic/zeroday/node-cmd/node-cmd-5.0.0_NodeMedic,CWE-XYZ,Exited 0,7.644,10.142,27.069987951,true,false,
results/nodemedic/zeroday/blakeembrey-template/blakeembrey-template-1.1.0_NodeMedic,CWE-XYZ,Exited 0,0.,0.,9.195546447,false,false,
results/nodemedic/zeroday/file-source/file-source-0.6.1_NodeMedic,CWE-XYZ,Exited 0,0.,0.,10.122170474,false,false,
results/nodemedic/zeroday/gh-markdown-cli/gh-markdown-cli-0.2.0_NodeMedic,CWE-XYZ,Exited 0,0.,0.,8.192824286,false,false,
results/nodemedic/zeroday/eivindfjeldstad-dot/eivindfjeldstad-dot-0.0.1_NodeMedic,CWE-471,Exited 0,0.,0.,8.097494969,false,false,
results/nodemedic/zeroday/jest-transform-file/jest-transform-file-1.1.1_NodeMedic,CWE-XYZ,Exited 0,0.,0.,8.810291975,false,false,
results/nodemedic/zeroday/adb-driver/adb-driver-0.1.8_NodeMedic,CWE-78,Exited 0,0.,0.,10.159629414,false,false,
results/nodemedic/zeroday/simple-spellchecker/simple-spellchecker-1.0.2_NodeMedic,CWE-XYZ,Exited 0,0.,0.,8.940188447,false,false,
