benchmark,cwe,marker,static_time,symb_time,total_time,exploit,
/bench/results/res-20240929T012449/CWE-22/448_GHSA-25jw-gcfj-283j/360class.jansenhm-0.1.1/weatherServer.js,CWE-22,Exited 0,33.382815,0.000125,33.4192,false,
/bench/results/res-20240929T012449/CWE-22/391_GHSA-jpg7-6c9f-7q54/datachannel-client-1.0.2/server.js,CWE-22,Exited 0,34.42435,9.4e-05,34.4539,false,
/bench/results/res-20240929T012449/CWE-22/411_GHSA-6qh5-wx38-q92g/ltt.js-1.0.0/index.js,CWE-22,Exited 0,32.216998,7.2e-05,32.2514,false,
/bench/results/res-20240929T012449/CWE-22/554_GHSA-g8m7-qhv7-9h5x/serve-here-3.2.0/middleware/file-explorer.js,CWE-22,Exited 0,1.822967,0.,1.85932,false,
/bench/results/res-20240929T012449/CWE-22/468_GHSA-h372-w3xp-2jg3/section2.madisonjbrooks12-0.1.1/static.js,CWE-22,Exited 0,33.456824,0.000127,33.4931,false,
/bench/results/res-20240929T012449/CWE-22/561_GHSA-q2qh-cgc2-qhr3/serve-6.4.8/lib/server.js,CWE-22,Exited 0,29.247056,0.000103,29.2787,false,
/bench/results/res-20240929T012449/CWE-22/471_GHSA-v464-rcx7-j875/infraserver-0.0.1/infra.data.js,CWE-22,Exited 2,0.,0.,0.026932,false,
/bench/results/res-20240929T012449/CWE-22/423_GHSA-frcq-4ffq-v4mw/lessindex-1.0.0/index.js,CWE-22,Exited 0,33.222277,6.4e-05,33.2577,false,
/bench/results/res-20240929T012449/CWE-22/380_GHSA-qpwf-4fx5-crqq/earlybird-0.1.7/tools.js,CWE-22,Exited 0,26.068077,7.2e-05,26.0995,false,
/bench/results/res-20240929T012449/CWE-22/395_GHSA-x2jj-x3q2-7hph/11xiaoli-1.1.0/dome.js,CWE-22,Exited 0,32.659343,6.1e-05,32.6895,false,
/bench/results/res-20240929T012449/CWE-22/676_GHSA-8h8v-6qqm-fwpq/express-cart-1.1.5/src/routes/admin.js,CWE-22,Exited 2,0.,0.,0.0310872,false,
/bench/results/res-20240929T012449/CWE-22/438_GHSA-4vcm-qfxh-p6c3/getcityapi.yoehoehne-0.0.1/src/static.js,CWE-22,Exited 2,0.,0.,0.0309861,false,
/bench/results/res-20240929T012449/CWE-22/373_GHSA-8h55-49jm-739x/easyquick-0.1.1/tools.js,CWE-22,Exited 0,26.122842,8.8e-05,26.1556,false,
/bench/results/res-20240929T012449/CWE-22/462_GHSA-8w74-g84v-c5w8/chatbyvista-0.1.0/server.js,CWE-22,Exited 0,35.914456,9.7e-05,35.9505,false,
/bench/results/res-20240929T012449/CWE-22/GHSA-4j46-mp85-mv8c/rollup-plugin-serve-1.0.1/dist/index.es.js,CWE-22,Exited 0,29.905863,0.000135,29.9376,false,
/bench/results/res-20240929T012449/CWE-22/431_GHSA-pxq7-4ppw-qp7f/serverzyy-1.0.0/index.js,CWE-22,Exited 0,33.261493,0.000113,33.2964,false,
/bench/results/res-20240929T012449/CWE-22/342_GHSA-cch6-5x4h-6qc5/tiny-http-2.0.8/dist/http.js,CWE-22,Exited 0,42.62693,0.000124,42.6631,false,
/bench/results/res-20240929T012449/CWE-22/422_GHSA-5jg5-w395-9684/ltt-1.1.0/src/index.js,CWE-22,Exited 2,0.,0.,0.0318871,false,
/bench/results/res-20240929T012449/CWE-22/424_GHSA-79p8-4cwq-rhqh/jn_jj_server-0.0.8/index.js,CWE-22,Exited 0,35.183279,0.000135,35.2209,false,
/bench/results/res-20240929T012449/CWE-22/89_GHSA-xg5r-8j97-2wrj/restafary-1.6.0/lib/restafary.js,CWE-22,Exited 0,35.56246,7e-05,35.5954,false,
/bench/results/res-20240929T012449/CWE-22/444_GHSA-xqfm-ff6g-24c7/dgard8.lab6-0.0.1/src/static.js,CWE-22,Exited 2,0.,0.,0.0263031,false,
/bench/results/res-20240929T012449/CWE-22/346_GHSA-g7j3-p357-cw8p/f2e-server-1.12.11/nodeLib/index.js,CWE-22,Exited 0,1.977243,0.,2.01191,false,
/bench/results/res-20240929T012449/CWE-22/378_GHSA-j9wj-26p5-fj2v/gaoxuyan-1.1.0/index.js,CWE-22,Exited 0,33.426981,8.7e-05,33.4619,false,
/bench/results/res-20240929T012449/CWE-22/466_GHSA-m874-69ww-w7jq/whispercast-0.1.0/whispercast.js,CWE-22,Exited 0,35.042461,0.000134,35.0752,false,
/bench/results/res-20240929T012449/CWE-22/470_GHSA-j5mg-fpq8-vvxv/commentapp.stetsonwood-0.0.1/server.js,CWE-22,Exited 0,34.310242,0.000154,34.3399,false,
/bench/results/res-20240929T012449/CWE-22/465_GHSA-5x5w-v4xq-p64r/ewgaddis.lab6-0.1.1/simple.js,CWE-22,Exited 0,33.629221,7.4e-05,33.6639,false,
/bench/results/res-20240929T012449/CWE-22/1037_GHSA-gvff-25cc-4f66/restify-swagger-jsdoc-3.2.0/js/index.js,CWE-22,Exited 0,41.747505,0.1742,41.9565,false,
/bench/results/res-20240929T012449/CWE-22/407_GHSA-wqr3-24xm-fxhq/wffserve-1.0.0/index.js,CWE-22,Exited 0,33.678299,0.000136,33.7085,false,
/bench/results/res-20240929T012449/CWE-22/389_GHSA-f2rc-6xjq-95gq/shenliru-1.2.0/index.js,CWE-22,Exited 0,33.048824,8.4e-05,33.0836,false,
/bench/results/res-20240929T012449/CWE-22/305_GHSA-2r7f-4h2c-5x73/fury-adapter-swagger-0.9.6/lib/parser.js,CWE-22,Exited 0,37.854912,9.4e-05,37.8908,false,
/bench/results/res-20240929T012449/CWE-22/460_GHSA-8xj3-7258-w4q2/dasafio-1.2.0/desafio.js,CWE-22,Exited 0,33.623411,9.7e-05,33.6604,false,
/bench/results/res-20240929T012449/CWE-22/464_GHSA-f8rj-4v7g-p5rj/jansenstuffpleasework-0.1.1/fileServer.js,CWE-22,Exited 0,33.158456,0.000129,33.1859,false,
/bench/results/res-20240929T012449/CWE-22/95_GHSA-6cpc-mj5c-m9rq/cli-0.11.3/cli.js,CWE-22,Exited 0,43.232778,8.2e-05,43.2661,false,
/bench/results/res-20240929T012449/CWE-22/1025_GHSA-crf7-fvjx-863q/zero-1.0.4/lib/router/index.js,CWE-22,Exited 0,30.348059,8.8e-05,30.3847,false,
/bench/results/res-20240929T012449/CWE-22/641_GHSA-3r8f-gphx-9m2c/mcstatic-0.0.20/lib/staticFileHandler.js,CWE-22,Exited 0,37.105423,2.776226,39.93,true,
/bench/results/res-20240929T012449/CWE-22/36_GHSA-69rr-wvh9-6c4q/st-0.2.3/st.js,CWE-22,Exited 0,37.453596,8.7e-05,37.4835,false,
/bench/results/res-20240929T012449/CWE-22/370_GHSA-vxwf-pprx-wc25/citypredict.whauwiller-0.1.1/weather_server.js,CWE-22,Exited 0,33.300573,0.000105,33.3336,false,
/bench/results/res-20240929T012449/CWE-22/478_GHSA-pq5x-rprq-8jrj/exxxxxxxxxxx-1.0.2/lib/loop.js,CWE-22,Exited 0,29.408398,6.7e-05,29.4371,false,
/bench/results/res-20240929T012449/CWE-22/440_GHSA-m69q-pmxg-vqch/cypserver-1.0.0/index.js,CWE-22,Exited 0,32.491283,7.1e-05,32.5233,false,
/bench/results/res-20240929T012449/CWE-22/372_GHSA-whcm-29f4-j4mx/zwserver-0.1.1/src/server.js,CWE-22,Exited 2,0.,0.,0.030802,false,
/bench/results/res-20240929T012449/CWE-22/352_GHSA-5w8q-x7hc-jhp6/node-simple-router-0.10.0/lib/router.js,CWE-22,Exited 0,53.155566,8.2e-05,53.1903,false,
/bench/results/res-20240929T012449/CWE-22/399_GHSA-hhff-3c89-5m7p/byucslabsix-0.0.5/server.js,CWE-22,Exited 0,33.251536,0.000116,33.2867,false,
/bench/results/res-20240929T012449/CWE-22/413_GHSA-xj6q-9hx8-mm7f/liuyaserver-1.0.0/node.js,CWE-22,Exited 0,33.340212,0.000134,33.3736,false,
/bench/results/res-20240929T012449/CWE-22/455_GHSA-wh33-4p32-g7vh/serverxxx-1.0.0/src/index.js,CWE-22,Exited 2,0.,0.,0.0311739,false,
/bench/results/res-20240929T012449/CWE-22/343_GHSA-3cgg-gh9j-w8vm/iter-http-1.0.13/bin/iter-http.js,CWE-22,Exited 2,0.,0.,0.0310638,false,
/bench/results/res-20240929T012449/CWE-22/477_GHSA-3vg2-4qxc-ch4j/unicorn-list-1.0.3/app/server.js,CWE-22,Exited 0,33.306794,9.8e-05,33.343,false,
/bench/results/res-20240929T012449/CWE-22/383_GHSA-9frq-f867-hgqc/fast-http-cli-0.0.8/fast-http.js,CWE-22,Exited 0,28.188786,0.000106,28.2243,false,
/bench/results/res-20240929T012449/CWE-22/388_GHSA-8fv7-vm2p-5495/welcomyzt-1.1.0/node.js,CWE-22,Exited 0,33.12029,0.000125,33.1568,false,
/bench/results/res-20240929T012449/CWE-22/428_GHSA-m362-87jc-f39v/uv-tj-demo-1.0.0/server.js,CWE-22,Exited 0,36.094864,8.7e-05,36.131,false,
