benchmark,cwe,marker,fuzz_time,expl_time,total_time,taintpath,exploit,
results/nodemedic/20240906-secbench/nodee-utils/nodee-utils-1.2.2_NodeMedic,CWE-471,Exited 0,6.198,0.,26.439288712,false,false,
results/nodemedic/20240906-secbench/cyber-js/cyber-js-1.0.6_NodeMedic,CWE-22,Exited 0,0.,0.,9.066944807,false,false,
results/nodemedic/20240906-secbench/codecov/codecov-3.6.4_NodeMedic,CWE-78,Exited 0,0.,0.,9.620656044,false,false,
results/nodemedic/20240906-secbench/zjjserver/zjjserver-1.0.0_NodeMedic,CWE-22,Exited 0,0.,0.,8.732167017,false,false,
results/nodemedic/20240906-secbench/lihuini/lihuini-1.0.0_NodeMedic,CWE-22,Exited 0,0.,0.,9.14256105,false,false,
results/nodemedic/20240906-secbench/servewuqianqianqian/servewuqianqianqian-1.0.0_NodeMedic,CWE-22,Exited 0,0.,0.,8.984154188,false,false,
results/nodemedic/20240906-secbench/express-blinker/express-blinker-0.0.6_NodeMedic,CWE-22,Exited 0,0.,0.,9.039207802,false,false,
results/nodemedic/20240906-secbench/deep-override/deep-override-1.0.0_NodeMedic,CWE-471,Exited 0,0.,0.,7.190798416,false,false,
results/nodemedic/20240906-secbench/tinyserver/tinyserver-0.1.1_NodeMedic,CWE-22,Exited 0,0.,0.,14.378061051,false,false,
results/nodemedic/20240906-secbench/tiny-conf/tiny-conf-1.1.0_NodeMedic,CWE-471,Exited 0,0.,0.,15.467858941,false,false,
results/nodemedic/20240906-secbench/ptest/ptest-1.0.0_NodeMedic,CWE-22,Exited 0,0.,0.,9.14329961,false,false,
results/nodemedic/20240906-secbench/convict/convict-6.0.0_NodeMedic,CWE-471,Exited 0,0.,0.,6.398596383,false,false,
results/nodemedic/20240906-secbench/component-flatten/component-flatten-1.0.1_NodeMedic,CWE-471,Exited 0,0.,0.,8.64235753,false,false,
results/nodemedic/20240906-secbench/plain-object-merge/plain-object-merge-1.0.1_NodeMedic,CWE-471,Exited 0,0.,0.,9.777798607,false,false,
results/nodemedic/20240906-secbench/rollup-plugin-dev-server/rollup-plugin-dev-server-0.4.3_NodeMedic,CWE-22,Exited 0,0.,0.,8.158141581,false,false,
results/nodemedic/20240906-secbench/getstats/getstats-1.0.6_NodeMedic,CWE-22,Exited 0,0.,0.,9.827075858,false,false,
results/nodemedic/20240906-secbench/rollup-plugin-serve/rollup-plugin-serve-0.4.2_NodeMedic,CWE-22,Exited 0,0.,0.,7.962023416,false,false,
results/nodemedic/20240906-secbench/node-cxc/node-cxc-1.0.0_NodeMedic,CWE-22,Exited 0,0.,0.,10.005598843,false,false,
results/nodemedic/20240906-secbench/giting/giting-0.0.7_NodeMedic,CWE-78,Exited 0,0.,0.,23.158358098,false,false,
results/nodemedic/20240906-secbench/zhangranbigman/zhangranbigman-0.0.1_NodeMedic,CWE-22,Exited 0,0.,0.,9.125311416,false,false,
results/nodemedic/20240906-secbench/deepmergefn/deepmergefn-1.1.0_NodeMedic,CWE-471,Exited 0,0.,0.,8.955994153,false,false,
results/nodemedic/20240906-secbench/pico-static-server/pico-static-server-2.3.4_NodeMedic,CWE-22,Exited 0,0.,0.,9.585041483,false,false,
results/nodemedic/20240906-secbench/serversyysyy/serversyysyy-1.1.0_NodeMedic,CWE-22,Exited 0,0.,0.,9.160128516,false,false,
results/nodemedic/20240906-secbench/killing/killing-1.0.6_NodeMedic,CWE-78,Exited 0,7.842,130.151,162.018232639,true,false,
results/nodemedic/20240906-secbench/wuzhuangserver/wuzhuangserver-1.8.0_NodeMedic,CWE-22,Exited 0,0.,0.,9.181440502,false,false,
results/nodemedic/20240906-secbench/object-path/object-path-0.11.0_NodeMedic,CWE-471,Exited 0,0.,0.,9.015022567,false,false,
results/nodemedic/20240906-secbench/object-path/object-path-0.11.4_NodeMedic,CWE-471,Exited 0,0.,0.,12.78858293,false,false,
results/nodemedic/20240906-secbench/set-deep-prop/set-deep-prop-1.0.0_NodeMedic,CWE-471,Exited 0,0.,0.,8.876237567,false,false,
results/nodemedic/20240906-secbench/welcomyzt/welcomyzt-1.1.0_NodeMedic,CWE-22,Exited 0,0.,0.,9.138138955,false,false,
results/nodemedic/20240906-secbench/ts-process-promises/ts-process-promises-1.0.2_NodeMedic,CWE-78,Exited 0,20.177,10.279,73.739580723,true,false,
results/nodemedic/20240906-secbench/apex-publish-static-files/apex-publish-static-files-2.0.0_NodeMedic,CWE-78,Exited 0,0.,0.,12.882227632,false,false,
results/nodemedic/20240906-secbench/sgqserve/sgqserve-1.0.0_NodeMedic,CWE-22,Exited 0,0.,0.,9.05452662,false,false,
results/nodemedic/20240906-secbench/m-server/m-server-1.4.0_NodeMedic,CWE-22,Exited 0,0.,0.,8.488777561,false,false,
results/nodemedic/20240906-secbench/underscore/underscore-1.13.0-0_NodeMedic,CWE-94,Exited 0,0.,0.,9.151785738,false,false,
results/nodemedic/20240906-secbench/myserve111/myserve111-1.1.2_NodeMedic,CWE-22,Exited 0,0.,0.,9.279237763,false,false,
results/nodemedic/20240906-secbench/api-proxy/api-proxy-0.0.2_NodeMedic,CWE-22,Exited 0,0.,0.,9.945045386,false,false,
results/nodemedic/20240906-secbench/grunt-util-property/grunt-util-property-0.0.2_NodeMedic,CWE-471,Exited 0,0.,0.,8.02269892,false,false,
results/nodemedic/20240906-secbench/basic-static/basic-static-2.0.2_NodeMedic,CWE-22,Exited 0,0.,0.,8.314745842,false,false,
results/nodemedic/20240906-secbench/wenluhong111/wenluhong111-1.0.0_NodeMedic,CWE-22,Exited 0,0.,0.,9.167415087,false,false,
results/nodemedic/20240906-secbench/think-helper/think-helper-1.1.0_NodeMedic,CWE-471,Exited 0,0.,0.,15.864348184,false,false,
results/nodemedic/20240906-secbench/imagickal/imagickal-5.0.1_NodeMedic,CWE-78,Exited 0,17.959,10.334,63.362869697,true,false,
results/nodemedic/20240906-secbench/theme-core/theme-core-0.2.5_NodeMedic,CWE-78,Exited 0,3.421,0.,21.732497336,false,false,
