benchmark,cwe,marker,static_time,symb_time,total_time,exploit,
/bench/results/res-20240925T135331/CWE-22/559_GHSA-4wch-fwmx-cf47/augustine-0.2.2/index.js,CWE-22,Exited 0,30.736533,0.000101,30.7682,false,
/bench/results/res-20240925T135331/CWE-22/889_GHSA-cgjv-rghq-qhgp/algo-httpserv-1.1.1/httpserv.js,CWE-22,Timeout,0.,0.,300.003,false,
/bench/results/res-20240925T135331/CWE-22/425_GHSA-5c6f-jpx7-cwq6/enserver-1.0.0/index.js,CWE-22,Exited 0,35.09913,5.3e-05,35.1324,false,
/bench/results/res-20240925T135331/CWE-22/652_GHSA-wm77-q74p-5763/superstatic-5.0.1/lib/providers/fs.js,CWE-22,Exited 0,41.216709,1.04042,42.3003,false,
/bench/results/res-20240925T135331/CWE-22/965_GHSA-48gc-5j93-5cfq/serve-10.1.1/bin/serve.js,CWE-22,Exited 0,26.711318,0.000128,26.7394,false,
/bench/results/res-20240925T135331/CWE-22/367_GHSA-vhx6-cp8w-295m/serverliujiayi1-1.1.0/index.js,CWE-22,Exited 0,34.226663,0.000119,34.2631,false,
/bench/results/res-20240925T135331/CWE-22/458_GHSA-g5m5-v5cp-5p7m/wintiwebdev-1.0.0/src/app.js,CWE-22,Exited 2,0.,0.,0.0311081,false,
/bench/results/res-20240925T135331/CWE-22/GHSA-2hw7-mxvj-m455/node-red-dashboard-2.26.1/nodes/ui_base.js,CWE-22,Exited 0,33.889796,0.000121,33.9254,false,
/bench/results/res-20240925T135331/CWE-22/557_GHSA-m4vv-p6fq-jhqp/here-3.2.1/middleware/file_explorer.js,CWE-22,Exited 2,0.,0.,0.0313959,false,
/bench/results/res-20240925T135331/CWE-22/1173_GHSA-4x7w-frcq-v4m3/swagger-injector-3.0.1/frameworks/base.js,CWE-22,Exited 0,35.991646,9e-05,36.0271,false,
/bench/results/res-20240925T135331/CWE-22/432_GHSA-gf7h-vg5v-cch6/ritp-1.0.5/index.js,CWE-22,Exited 0,36.357555,0.0001,36.3859,false,
/bench/results/res-20240925T135331/CWE-22/435_GHSA-jwjq-vp53-ph6m/pytservce-1.0.0/src/index.js,CWE-22,Exited 2,0.,0.,0.024986,false,
/bench/results/res-20240925T135331/CWE-22/GHSA-hfwx-c7q6-g54c/highcharts-export-server-2.0.30/lib/server.js,CWE-22,Exited 0,52.280581,27.771846,80.0995,true,
/bench/results/res-20240925T135331/CWE-22/420_GHSA-74f5-4m28-gq5c/peiserver-1.0.0/index.js,CWE-22,Exited 0,34.459423,0.000122,34.4953,false,
/bench/results/res-20240925T135331/CWE-22/740_GHSA-23xp-j737-282v/takeapeek-0.2.2/dist/index.js,CWE-22,Exited 0,28.998896,0.00019,29.0328,false,
/bench/results/res-20240925T135331/CWE-22/426_GHSA-ccw5-7vfh-p5hm/dmmcquay.lab6-0.1.1/simple.js,CWE-22,Exited 0,35.246538,9e-05,35.2801,false,
/bench/results/res-20240925T135331/CWE-22/967_GHSA-45j8-pm75-5v8x/static-resource-server-1.7.2/src/helper/route,CWE-22,Exited 2,0.,0.,0.0276542,false,
/bench/results/res-20240925T135331/CWE-22/376_GHSA-9j5m-873f-xh76/static-html-server-0.1.2/static-html-server.js,CWE-22,Exited 0,36.122669,0.000132,36.1574,false,
/bench/results/res-20240925T135331/CWE-22/799_GHSA-2hhw-p8mg-jrm6/http-live-simulator-1.0.5/bin/http-live,CWE-22,Exited 0,30.380994,0.000135,30.4143,false,
/bench/results/res-20240925T135331/CWE-22/453_GHSA-jp46-fw6c-3pm9/scott-blanch-weather-app-0.1.2/server.js,CWE-22,Exited 0,36.904691,8.2e-05,36.9385,false,
/bench/results/res-20240925T135331/CWE-22/556_GHSA-7x92-2j68-h32c/featurebook-0.0.32/bin/featurebook.js,CWE-22,Exited 0,29.881285,0.000104,29.914,false,
/bench/results/res-20240925T135331/CWE-22/430_GHSA-6x8c-mvpv-5366/shit-server-1.0.0/index.js,CWE-22,Exited 0,36.805363,0.000122,36.8397,false,
/bench/results/res-20240925T135331/CWE-22/354_GHSA-q4cq-539c-3mmm/serveryztyzt-1.4.0/node.js,CWE-22,Exited 0,34.754722,9e-05,34.7863,false,
/bench/results/res-20240925T135331/CWE-22/452_GHSA-hqw4-8893-j4h7/simple-npm-registry-0.0.4/index.js,CWE-22,Exited 0,47.5113,9.7e-05,47.5459,false,
/bench/results/res-20240925T135331/CWE-22/451_GHSA-g376-whg7-896m/yjmyjmyjm-1.0.0/index.js,CWE-22,Exited 0,28.729898,0.000136,28.7651,false,
