benchmark,cwe,marker,path_time,expl_time,total_time,detection,exploit,
results/fast/zeroday/2024-11-14-FAST_44_out_v2/aurelia-loader-nodejs-1.1.0/src/dist/es2017/aurelia-loader-nodejs.js_fast,CWE-XX,Exited 0,0.741,0.,0.741,failed,failed,
results/fast/zeroday/2024-11-14-FAST_44_out_v2/aurelia-loader-nodejs-1.1.0/src/dist/amd/aurelia-loader-nodejs.js_fast,CWE-XX,Exited 0,1.504,0.,1.504,failed,failed,
results/fast/zeroday/2024-11-14-FAST_44_out_v2/aurelia-loader-nodejs-1.1.0/src/dist/system/aurelia-loader-nodejs.js_fast,CWE-XX,Exited 0,1.503,0.,1.503,failed,failed,
results/fast/zeroday/2024-11-14-FAST_44_out_v2/aurelia-loader-nodejs-1.1.0/src/dist/commonjs/aurelia-loader-nodejs.js_fast,CWE-XX,Timeout,nan,nan,600.,failed,failed,
results/fast/zeroday/2024-11-14-FAST_44_out_v2/aurelia-loader-nodejs-1.1.0/src/dist/es2015/aurelia-loader-nodejs.js_fast,CWE-XX,Exited 0,0.798,0.,0.798,failed,failed,
results/fast/zeroday/2024-11-14-FAST_44_out_v2/aurelia-loader-nodejs-1.1.0/src/dist/native-modules/aurelia-loader-nodejs.js_fast,CWE-XX,Exited 0,1.376,0.,1.376,failed,failed,
results/fast/zeroday/2024-11-14-FAST_44_out_v2/node-cmd-5.0.0/src/cmd.js_fast,CWE-XX,Exited 0,0.901,0.,0.901,failed,failed,
results/fast/zeroday/2024-11-14-FAST_44_out_v2/hull.js-1.0.3/src/dist/hull.js_fast,CWE-XX,Exited 0,3.204,0.,3.204,failed,failed,
results/fast/zeroday/2024-11-14-FAST_44_out_v2/hull.js-1.0.3/src/test/test.js_fast,CWE-XX,Exited 0,0.92,0.,0.92,failed,failed,
results/fast/zeroday/2024-11-14-FAST_44_out_v2/hull.js-1.0.3/src/test/intersect.js_fast,CWE-XX,Exited 0,1.078,0.,1.078,failed,failed,
results/fast/zeroday/2024-11-14-FAST_44_out_v2/hull.js-1.0.3/src/test/grid.js_fast,CWE-XX,Exited 0,1.371,0.,1.371,failed,failed,
results/fast/zeroday/2024-11-14-FAST_44_out_v2/hull.js-1.0.3/src/test/hull.js_fast,CWE-XX,Exited 0,1.665,0.,1.665,failed,failed,
results/fast/zeroday/2024-11-14-FAST_44_out_v2/hull.js-1.0.3/src/src/intersect.js_fast,CWE-XX,Exited 0,0.828,0.,0.828,failed,failed,
results/fast/zeroday/2024-11-14-FAST_44_out_v2/hull.js-1.0.3/src/src/grid.js_fast,CWE-XX,Exited 0,1.024,0.,1.024,failed,failed,
results/fast/zeroday/2024-11-14-FAST_44_out_v2/hull.js-1.0.3/src/src/convex.js_fast,CWE-XX,Exited 0,0.962,0.,0.962,failed,failed,
results/fast/zeroday/2024-11-14-FAST_44_out_v2/hull.js-1.0.3/src/src/format.js_fast,CWE-XX,Exited 0,0.812,0.,0.812,failed,failed,
results/fast/zeroday/2024-11-14-FAST_44_out_v2/hull.js-1.0.3/src/src/hull.js_fast,CWE-XX,Exited 0,1.74,0.,1.74,failed,failed,
results/fast/zeroday/2024-11-14-FAST_44_out_v2/rsync-0.6.1/src/rsync.js_fast,CWE-XX,Timeout,nan,nan,600.,failed,failed,
results/fast/zeroday/2024-11-14-FAST_44_out_v2/rsync-0.6.1/src/examples/simple.js_fast,CWE-XX,Exited 0,0.89,0.,0.89,failed,failed,
results/fast/zeroday/2024-11-14-FAST_44_out_v2/rsync-0.6.1/src/tests/shell_expansion.test.js_fast,CWE-XX,Exited 0,0.951,0.,0.951,failed,failed,
results/fast/zeroday/2024-11-14-FAST_44_out_v2/rsync-0.6.1/src/tests/input.test.js_fast,CWE-XX,Exited 0,1.161,0.,1.161,failed,failed,
results/fast/zeroday/2024-11-14-FAST_44_out_v2/rsync-0.6.1/src/tests/accessors.test.js_fast,CWE-XX,Exited 0,1.116,0.,1.116,failed,failed,
results/fast/zeroday/2024-11-14-FAST_44_out_v2/rsync-0.6.1/src/tests/inputwin32.test.js_fast,CWE-XX,Exited 0,0.976,0.,0.976,failed,failed,
results/fast/zeroday/2024-11-14-FAST_44_out_v2/rsync-0.6.1/src/tests/filters.test.js_fast,CWE-XX,Exited 0,1.322,0.,1.322,failed,failed,
results/fast/zeroday/2024-11-14-FAST_44_out_v2/rsync-0.6.1/src/tests/options.test.js_fast,CWE-XX,Exited 0,1.825,0.,1.825,failed,failed,
results/fast/zeroday/2024-11-14-FAST_44_out_v2/rsync-0.6.1/src/tests/shorthands.test.js_fast,CWE-XX,Exited 0,2.684,0.,2.684,failed,failed,
results/fast/zeroday/2024-11-14-FAST_44_out_v2/rsync-0.6.1/src/tests/z_output.test.js_fast,CWE-XX,Exited 0,0.982,0.,0.982,failed,failed,
results/fast/zeroday/2024-11-14-FAST_44_out_v2/rsync-0.6.1/src/tests/helpers/echo_input.js_fast,CWE-XX,Exited 0,0.779,0.,0.779,failed,failed,
results/fast/zeroday/2024-11-14-FAST_44_out_v2/rsync-0.6.1/src/tests/helpers/output.js_fast,CWE-XX,Exited 0,0.956,0.,0.956,failed,failed,
results/fast/zeroday/2024-11-14-FAST_44_out_v2/rsync-0.6.1/src/tests/helpers/fs_helper.js_fast,CWE-XX,Exited 0,0.786,0.,0.786,failed,failed,
results/fast/zeroday/2024-11-14-FAST_44_out_v2/gradle-to-js-2.0.1/src/cli.js_fast,CWE-XX,Exited 0,0.955,0.,0.955,failed,failed,
results/fast/zeroday/2024-11-14-FAST_44_out_v2/gradle-to-js-2.0.1/src/lib/parser.js_fast,CWE-XX,Exited 0,76.044,0.,76.044,failed,failed,
results/fast/zeroday/2024-11-14-FAST_44_out_v2/win-fork-1.1.1/src/index.js_fast,CWE-XX,Exited 0,1.536,0.,1.536,failed,failed,
results/fast/zeroday/2024-11-14-FAST_44_out_v2/metro-cache-key-0.78.0/src/src/index.js_fast,CWE-XX,Exited 0,0.756,0.,0.756,failed,failed,
results/fast/zeroday/2024-11-14-FAST_44_out_v2/dotenv-yaml-0.1.4/src/config.js_fast,CWE-XX,Exited 0,1.108,0.,1.108,failed,failed,
results/fast/zeroday/2024-11-14-FAST_44_out_v2/dotenv-yaml-0.1.4/src/lib/index.js_fast,CWE-XX,Exited 0,0.996,0.,0.996,failed,failed,
results/fast/zeroday/2024-11-14-FAST_44_out_v2/spawn-please-2.0.1/src/index.js_fast,CWE-XX,Exited 0,1.078,0.,1.078,failed,failed,
results/fast/zeroday/2024-11-14-FAST_44_out_v2/spawn-please-2.0.1/src/test/stdout-and-stderr.js_fast,CWE-XX,Exited 0,0.601,0.,0.601,failed,failed,
results/fast/zeroday/2024-11-14-FAST_44_out_v2/spawn-please-2.0.1/src/test/spec.js_fast,CWE-XX,Exited 0,1.323,0.,1.323,failed,failed,
results/fast/zeroday/2024-11-14-FAST_44_out_v2/prepend-file-2.0.1/src/index.js_fast,CWE-XX,Exited 0,1.393,0.,1.393,failed,failed,
results/fast/zeroday/2024-11-14-FAST_44_out_v2/sha256-file-1.0.0/src/test.js_fast,CWE-XX,Exited 0,0.937,0.,0.937,failed,failed,
results/fast/zeroday/2024-11-14-FAST_44_out_v2/sha256-file-1.0.0/src/index.js_fast,CWE-XX,Exited 0,1.024,0.,1.024,failed,failed,
results/fast/zeroday/2024-11-14-FAST_44_out_v2/apib-include-directive-0.1.0/src/lib/main.js_fast,CWE-XX,Exited 0,1.149,0.,1.149,failed,failed,
results/fast/zeroday/2024-11-14-FAST_44_out_v2/jest-transform-file-1.1.1/src/index.js_fast,CWE-XX,Exited 0,0.964,0.,0.964,failed,failed,
results/fast/zeroday/2024-11-14-FAST_44_out_v2/adb-driver-0.1.8/src/build/AdbDriver.js_fast,CWE-XX,Exited 0,1.145,0.,1.145,failed,failed,
results/fast/zeroday/2024-11-14-FAST_44_out_v2/file-system-2.2.2/src/Gruntfile.js_fast,CWE-XX,Exited 0,0.702,0.,0.702,failed,failed,
results/fast/zeroday/2024-11-14-FAST_44_out_v2/file-system-2.2.2/src/file-system.js_fast,CWE-XX,Exited 0,4.15,0.,4.15,failed,failed,
results/fast/zeroday/2024-11-14-FAST_44_out_v2/file-system-2.2.2/src/test/mkdir.js_fast,CWE-XX,Exited 0,1.342,0.,1.342,failed,failed,
results/fast/zeroday/2024-11-14-FAST_44_out_v2/file-system-2.2.2/src/test/recurse.js_fast,CWE-XX,Exited 0,1.844,0.,1.844,failed,failed,
results/fast/zeroday/2024-11-14-FAST_44_out_v2/file-system-2.2.2/src/test/copy.js_fast,CWE-XX,Exited 0,1.524,0.,1.524,failed,failed,
results/fast/zeroday/2024-11-14-FAST_44_out_v2/file-system-2.2.2/src/test/fs.js_fast,CWE-XX,Exited 0,1.147,0.,1.147,failed,failed,
results/fast/zeroday/2024-11-14-FAST_44_out_v2/file-system-2.2.2/src/test/filter.js_fast,CWE-XX,Exited 0,1.385,0.,1.385,failed,failed,
results/fast/zeroday/2024-11-14-FAST_44_out_v2/file-system-2.2.2/src/test/copyFile.js_fast,CWE-XX,Exited 0,1.421,0.,1.421,failed,failed,
results/fast/zeroday/2024-11-14-FAST_44_out_v2/dot-access-1.0.0/src/index.js_fast,CWE-XX,Exited 0,0.742,0.,0.742,failed,failed,
results/fast/zeroday/2024-11-14-FAST_44_out_v2/dot-access-1.0.0/src/test/test.js_fast,CWE-XX,Exited 0,1.148,0.,1.148,failed,failed,
results/fast/zeroday/2024-11-14-FAST_44_out_v2/find-config-1.0.0/src/gulpfile.js_fast,CWE-XX,Exited 0,1.606,0.,1.606,failed,failed,
results/fast/zeroday/2024-11-14-FAST_44_out_v2/find-config-1.0.0/src/test/find-config.js_fast,CWE-XX,Exited 0,1.731,0.,1.731,failed,failed,
results/fast/zeroday/2024-11-14-FAST_44_out_v2/find-config-1.0.0/src/test/benchmark/find-config.bench.js_fast,CWE-XX,Exited 0,0.922,0.,0.922,failed,failed,
results/fast/zeroday/2024-11-14-FAST_44_out_v2/find-config-1.0.0/src/test/benchmark/findup-sync.bench.js_fast,CWE-XX,Exited 0,0.866,0.,0.866,failed,failed,
results/fast/zeroday/2024-11-14-FAST_44_out_v2/find-config-1.0.0/src/test/benchmark/look-up.bench.js_fast,CWE-XX,Exited 0,0.911,0.,0.911,failed,failed,
results/fast/zeroday/2024-11-14-FAST_44_out_v2/find-config-1.0.0/src/test/benchmark/index.js_fast,CWE-XX,Exited 0,0.992,0.,0.992,failed,failed,
results/fast/zeroday/2024-11-14-FAST_44_out_v2/find-config-1.0.0/src/test/fixtures/bbb.js_fast,CWE-XX,Exited 0,0.7,0.,0.7,failed,failed,
results/fast/zeroday/2024-11-14-FAST_44_out_v2/find-config-1.0.0/src/test/fixtures/b.js_fast,CWE-XX,Exited 0,0.701,0.,0.701,failed,failed,
results/fast/zeroday/2024-11-14-FAST_44_out_v2/find-config-1.0.0/src/test/fixtures/a/index.js_fast,CWE-XX,Exited 0,0.717,0.,0.717,failed,failed,
results/fast/zeroday/2024-11-14-FAST_44_out_v2/find-config-1.0.0/src/src/find-config.js_fast,CWE-XX,Exited 0,4.417,0.,4.417,failed,failed,
results/fast/zeroday/2024-11-14-FAST_44_out_v2/fulcon-2.0.0/src/index.js_fast,CWE-XX,Exited 0,0.792,0.,0.792,failed,failed,
results/fast/zeroday/2024-11-14-FAST_44_out_v2/toggle-array-1.0.1/src/index.js_fast,CWE-XX,Exited 0,1.087,0.,1.087,failed,failed,
results/fast/zeroday/2024-11-14-FAST_44_out_v2/mecab-async-0.1.2/src/test.js_fast,CWE-XX,Exited 0,0.839,0.,0.839,failed,failed,
results/fast/zeroday/2024-11-14-FAST_44_out_v2/mecab-async-0.1.2/src/mecab.js_fast,CWE-XX,Exited 0,1.58,0.,1.58,failed,failed,
results/fast/zeroday/2024-11-14-FAST_44_out_v2/split-ca-1.0.1/src/index.js_fast,CWE-XX,Exited 0,0.911,0.,0.911,failed,failed,
results/fast/zeroday/2024-11-14-FAST_44_out_v2/split-ca-1.0.1/src/test/splitCa.test.js_fast,CWE-XX,Exited 0,1.313,0.,1.313,failed,failed,
results/fast/zeroday/2024-11-14-FAST_44_out_v2/sync-exec-0.6.2/src/js/sync-exec.js_fast,CWE-XX,Exited 0,1.262,0.,1.262,failed,failed,
results/fast/zeroday/2024-11-14-FAST_44_out_v2/sync-exec-0.6.2/src/js/lib/timeout.js_fast,CWE-XX,Exited 0,0.718,0.,0.718,failed,failed,
results/fast/zeroday/2024-11-14-FAST_44_out_v2/sync-exec-0.6.2/src/js/lib/read-pipes.js_fast,CWE-XX,Exited 0,1.049,0.,1.049,failed,failed,
results/fast/zeroday/2024-11-14-FAST_44_out_v2/sync-exec-0.6.2/src/js/lib/create-pipes.js_fast,CWE-XX,Exited 0,0.974,0.,0.974,failed,failed,
results/fast/zeroday/2024-11-14-FAST_44_out_v2/sync-exec-0.6.2/src/js/lib/proxy.js_fast,CWE-XX,Exited 0,0.905,0.,0.905,failed,failed,
results/fast/zeroday/2024-11-14-FAST_44_out_v2/split-tests-core-0.1.0/src/index.esm.js_fast,CWE-XX,Exited 0,0.805,0.,0.805,failed,failed,
results/fast/zeroday/2024-11-14-FAST_44_out_v2/split-tests-core-0.1.0/src/index.cjs.js_fast,CWE-XX,Exited 0,1.353,0.,1.353,failed,failed,
results/fast/zeroday/2024-11-14-FAST_44_out_v2/firstline-2.0.2/src/index.js_fast,CWE-XX,Exited 0,1.031,0.,1.031,failed,failed,
results/fast/zeroday/2024-11-14-FAST_44_out_v2/firstline-2.0.2/src/test/mocks.js_fast,CWE-XX,Exited 0,0.74,0.,0.74,failed,failed,
results/fast/zeroday/2024-11-14-FAST_44_out_v2/firstline-2.0.2/src/test/test.js_fast,CWE-XX,Exited 0,1.616,0.,1.616,failed,failed,
results/fast/zeroday/2024-11-14-FAST_44_out_v2/tal-page-strategies-2.0.1/src/index.js_fast,CWE-XX,Exited 0,0.981,0.,0.981,failed,failed,
results/fast/zeroday/2024-11-14-FAST_44_out_v2/tal-page-strategies-2.0.1/src/gruntfile.js_fast,CWE-XX,Exited 0,0.798,0.,0.798,failed,failed,
results/fast/zeroday/2024-11-14-FAST_44_out_v2/eivindfjeldstad-dot-0.0.1/src/index.js_fast,CWE-XX,Exited 0,0.852,0.,0.852,failed,failed,
