benchmark,cwe,marker,path_time,expl_time,total_time,detection,exploit,
results/fast/zeroday/2024-11-14-FAST_44_out_v2/eivindfjeldstad-dot-0.0.1/src/test/index.js_fast,CWE-XX,Exited 0,1.011,0.,1.011,failed,failed,
results/fast/zeroday/2024-11-14-FAST_44_out_v2/webpack-dotenv-plugin-2.1.0/src/index.js_fast,CWE-XX,Exited 0,1.073,0.,1.073,failed,failed,
results/fast/zeroday/2024-11-14-FAST_44_out_v2/angular-jsdoc-1.5.1/src/test.js_fast,CWE-XX,Exited 0,0.887,0.,0.887,failed,failed,
results/fast/zeroday/2024-11-14-FAST_44_out_v2/angular-jsdoc-1.5.1/src/gulpfile.js_fast,CWE-XX,Exited 0,1.465,0.,1.465,failed,failed,
results/fast/zeroday/2024-11-14-FAST_44_out_v2/angular-jsdoc-1.5.1/src/index.js_fast,CWE-XX,Exited 0,1.317,0.,1.317,failed,failed,
results/fast/zeroday/2024-11-14-FAST_44_out_v2/angular-jsdoc-1.5.1/src/angular-template/publish.js_fast,CWE-XX,Exited 0,2.503,0.,2.503,failed,failed,
results/fast/zeroday/2024-11-14-FAST_44_out_v2/angular-jsdoc-1.5.1/src/angular-template/js/prettify.js_fast,CWE-XX,Exited 0,59.325,0.,59.325,failed,failed,
results/fast/zeroday/2024-11-14-FAST_44_out_v2/angular-jsdoc-1.5.1/src/angular-template/js/site.js_fast,CWE-XX,Exited 0,0.848,0.,0.848,failed,failed,
results/fast/zeroday/2024-11-14-FAST_44_out_v2/angular-jsdoc-1.5.1/src/angular-template/js/angular.min.js_fast,CWE-XX,Exited 0,21.251,0.,21.251,failed,failed,
results/fast/zeroday/2024-11-14-FAST_44_out_v2/angular-jsdoc-1.5.1/src/angular-template/docs/js/prettify.js_fast,CWE-XX,Exited 0,59.204,0.,59.204,failed,failed,
results/fast/zeroday/2024-11-14-FAST_44_out_v2/angular-jsdoc-1.5.1/src/angular-template/docs/js/site.js_fast,CWE-XX,Exited 0,0.906,0.,0.906,failed,failed,
results/fast/zeroday/2024-11-14-FAST_44_out_v2/angular-jsdoc-1.5.1/src/angular-template/docs/js/angular.min.js_fast,CWE-XX,Exited 0,22.733,0.,22.733,failed,failed,
results/fast/zeroday/2024-11-14-FAST_44_out_v2/angular-jsdoc-1.5.1/src/sample-codes/app/test-service.js_fast,CWE-XX,Exited 0,0.652,0.,0.652,failed,failed,
results/fast/zeroday/2024-11-14-FAST_44_out_v2/angular-jsdoc-1.5.1/src/sample-codes/app/config.js_fast,CWE-XX,Exited 0,0.743,0.,0.743,failed,failed,
results/fast/zeroday/2024-11-14-FAST_44_out_v2/angular-jsdoc-1.5.1/src/sample-codes/app/custom-currency.js_fast,CWE-XX,Exited 0,0.848,0.,0.848,failed,failed,
results/fast/zeroday/2024-11-14-FAST_44_out_v2/angular-jsdoc-1.5.1/src/sample-codes/ngmap/map-controller.js_fast,CWE-XX,Exited 0,0.78,0.,0.78,failed,failed,
results/fast/zeroday/2024-11-14-FAST_44_out_v2/angular-jsdoc-1.5.1/src/sample-codes/ngmap/map.js_fast,CWE-XX,Exited 0,0.781,0.,0.781,failed,failed,
results/fast/zeroday/2024-11-14-FAST_44_out_v2/angular-jsdoc-1.5.1/src/sample-codes/ngmap/attr2-options.js_fast,CWE-XX,Exited 0,0.792,0.,0.792,failed,failed,
results/fast/zeroday/2024-11-14-FAST_44_out_v2/angular-jsdoc-1.5.1/src/default/publish.js_fast,CWE-XX,Exited 0,2.145,0.,2.145,failed,failed,
results/fast/zeroday/2024-11-14-FAST_44_out_v2/angular-jsdoc-1.5.1/src/default/js/prettify.js_fast,CWE-XX,Exited 0,59.334,0.,59.334,failed,failed,
results/fast/zeroday/2024-11-14-FAST_44_out_v2/angular-jsdoc-1.5.1/src/default/docs/js/prettify.js_fast,CWE-XX,Exited 0,58.504,0.,58.504,failed,failed,
results/fast/zeroday/2024-11-14-FAST_44_out_v2/angular-jsdoc-1.5.1/src/common/plugins/ngdoc.js_fast,CWE-XX,Exited 0,0.909,0.,0.909,failed,failed,
results/fast/zeroday/2024-11-14-FAST_44_out_v2/multiview-3.0.1/src/main.js_fast,CWE-XX,Exited 0,1.492,0.,1.492,failed,failed,
results/fast/zeroday/2024-11-14-FAST_44_out_v2/multiview-3.0.1/src/cli.js_fast,CWE-XX,Exited 0,1.657,0.,1.657,failed,failed,
results/fast/zeroday/2024-11-14-FAST_44_out_v2/multiview-3.0.1/src/cli/startServer.js_fast,CWE-XX,Exited 0,1.263,0.,1.263,failed,failed,
results/fast/zeroday/2024-11-14-FAST_44_out_v2/multiview-3.0.1/src/cli/Streamer.js_fast,CWE-XX,Exited 0,1.922,0.,1.922,failed,failed,
results/fast/zeroday/2024-11-14-FAST_44_out_v2/multiview-3.0.1/src/cli/action.js_fast,CWE-XX,Exited 0,1.884,0.,1.884,failed,failed,
results/fast/zeroday/2024-11-14-FAST_44_out_v2/multiview-3.0.1/src/test/test.js_fast,CWE-XX,Exited 0,0.861,0.,0.861,failed,failed,
results/fast/zeroday/2024-11-14-FAST_44_out_v2/multiview-3.0.1/src/test/test_script.js_fast,CWE-XX,Exited 0,0.81,0.,0.81,failed,failed,
results/fast/zeroday/2024-11-14-FAST_44_out_v2/multiview-3.0.1/src/lib/Receiver.js_fast,CWE-XX,Exited 0,0.738,0.,0.738,failed,failed,
results/fast/zeroday/2024-11-14-FAST_44_out_v2/multiview-3.0.1/src/lib/Spawn.js_fast,CWE-XX,Exited 0,1.068,0.,1.068,failed,failed,
results/fast/zeroday/2024-11-14-FAST_44_out_v2/multiview-3.0.1/src/lib/Stream.js_fast,CWE-XX,Exited 0,1.132,0.,1.132,failed,failed,
results/fast/zeroday/2024-11-14-FAST_44_out_v2/multiview-3.0.1/src/lib/standalone-treekill.js_fast,CWE-XX,Exited 0,0.842,0.,0.842,failed,failed,
results/fast/zeroday/2024-11-14-FAST_44_out_v2/simctl-2.0.3/src/simctl.js_fast,CWE-XX,Exited 0,1.682,0.,1.682,failed,failed,
results/fast/zeroday/2024-11-14-FAST_44_out_v2/simctl-2.0.3/src/jest.config.js_fast,CWE-XX,Exited 0,0.705,0.,0.705,failed,failed,
results/fast/zeroday/2024-11-14-FAST_44_out_v2/simctl-2.0.3/src/test/simctl.test.js_fast,CWE-XX,Exited 0,1.463,0.,1.463,failed,failed,
results/fast/zeroday/2024-11-14-FAST_44_out_v2/simctl-2.0.3/src/test/simctl-extensions.test.js_fast,CWE-XX,Exited 0,1.443,0.,1.443,failed,failed,
results/fast/zeroday/2024-11-14-FAST_44_out_v2/simctl-2.0.3/src/lib/simctl-extensions.js_fast,CWE-XX,Exited 0,1.306,0.,1.306,failed,failed,
results/fast/zeroday/2024-11-14-FAST_44_out_v2/golang-cover-parse-2.0.0/src/test/index.js_fast,CWE-XX,Exited 0,0.99,0.,0.99,failed,failed,
results/fast/zeroday/2024-11-14-FAST_44_out_v2/golang-cover-parse-2.0.0/src/source/index.js_fast,CWE-XX,Exited 0,1.656,0.,1.656,failed,failed,
results/fast/zeroday/2024-11-14-FAST_44_out_v2/broccoli-sri-hash-2.1.2/src/index.js_fast,CWE-XX,Exited 0,6.295,0.,6.295,failed,failed,
results/fast/zeroday/2024-11-14-FAST_44_out_v2/broccoli-sri-hash-2.1.2/src/test/index.js_fast,CWE-XX,Exited 0,1.566,0.,1.566,failed,failed,
results/fast/zeroday/2024-11-14-FAST_44_out_v2/broccoli-sri-hash-2.1.2/src/test/fixtures/output2/unicode-chars.js_fast,CWE-XX,Exited 0,0.691,0.,0.691,failed,failed,
results/fast/zeroday/2024-11-14-FAST_44_out_v2/broccoli-sri-hash-2.1.2/src/test/fixtures/output2/thing.js_fast,CWE-XX,Exited 0,0.652,0.,0.652,failed,failed,
results/fast/zeroday/2024-11-14-FAST_44_out_v2/broccoli-sri-hash-2.1.2/src/test/fixtures/input/moment-with-locales.min.js_fast,CWE-XX,Timeout,nan,nan,600.,failed,failed,
results/fast/zeroday/2024-11-14-FAST_44_out_v2/broccoli-sri-hash-2.1.2/src/test/fixtures/input/unicode-chars.js_fast,CWE-XX,Exited 0,0.693,0.,0.693,failed,failed,
results/fast/zeroday/2024-11-14-FAST_44_out_v2/broccoli-sri-hash-2.1.2/src/test/fixtures/input/thing.js_fast,CWE-XX,Exited 0,0.71,0.,0.71,failed,failed,
results/fast/zeroday/2024-11-14-FAST_44_out_v2/broccoli-sri-hash-2.1.2/src/test/fixtures/output/unicode-chars.js_fast,CWE-XX,Exited 0,0.717,0.,0.717,failed,failed,
results/fast/zeroday/2024-11-14-FAST_44_out_v2/broccoli-sri-hash-2.1.2/src/test/fixtures/output/thing.js_fast,CWE-XX,Exited 0,0.694,0.,0.694,failed,failed,
results/fast/zeroday/2024-11-14-FAST_44_out_v2/skn0tt-lambda-local-2.0.3/src/examples/handler_helloworld.js_fast,CWE-XX,Exited 0,0.738,0.,0.738,failed,failed,
results/fast/zeroday/2024-11-14-FAST_44_out_v2/skn0tt-lambda-local-2.0.3/src/examples/handler_edge_cloudfront.js_fast,CWE-XX,Exited 0,0.744,0.,0.744,failed,failed,
results/fast/zeroday/2024-11-14-FAST_44_out_v2/skn0tt-lambda-local-2.0.3/src/examples/event_cloudformation.js_fast,CWE-XX,Exited 0,0.652,0.,0.652,failed,failed,
results/fast/zeroday/2024-11-14-FAST_44_out_v2/skn0tt-lambda-local-2.0.3/src/examples/event_ses_recv_email.js_fast,CWE-XX,Exited 0,0.679,0.,0.679,failed,failed,
results/fast/zeroday/2024-11-14-FAST_44_out_v2/skn0tt-lambda-local-2.0.3/src/examples/event_awsconfig.js_fast,CWE-XX,Exited 0,0.66,0.,0.66,failed,failed,
results/fast/zeroday/2024-11-14-FAST_44_out_v2/skn0tt-lambda-local-2.0.3/src/examples/event_cloudfront.js_fast,CWE-XX,Exited 0,0.739,0.,0.739,failed,failed,
results/fast/zeroday/2024-11-14-FAST_44_out_v2/skn0tt-lambda-local-2.0.3/src/examples/event_lex.js_fast,CWE-XX,Exited 0,0.719,0.,0.719,failed,failed,
results/fast/zeroday/2024-11-14-FAST_44_out_v2/skn0tt-lambda-local-2.0.3/src/examples/event_apigateway.js_fast,CWE-XX,Exited 0,0.82,0.,0.82,failed,failed,
results/fast/zeroday/2024-11-14-FAST_44_out_v2/skn0tt-lambda-local-2.0.3/src/examples/event_s3-put.js_fast,CWE-XX,Exited 0,0.737,0.,0.737,failed,failed,
results/fast/zeroday/2024-11-14-FAST_44_out_v2/skn0tt-lambda-local-2.0.3/src/examples/event_dynamodb-update.js_fast,CWE-XX,Exited 0,0.805,0.,0.805,failed,failed,
results/fast/zeroday/2024-11-14-FAST_44_out_v2/skn0tt-lambda-local-2.0.3/src/examples/event_iot_button.js_fast,CWE-XX,Exited 0,0.657,0.,0.657,failed,failed,
results/fast/zeroday/2024-11-14-FAST_44_out_v2/skn0tt-lambda-local-2.0.3/src/examples/event_kinesis.js_fast,CWE-XX,Exited 0,0.597,0.,0.597,failed,failed,
results/fast/zeroday/2024-11-14-FAST_44_out_v2/skn0tt-lambda-local-2.0.3/src/examples/event_helloworld.js_fast,CWE-XX,Exited 0,0.695,0.,0.695,failed,failed,
results/fast/zeroday/2024-11-14-FAST_44_out_v2/skn0tt-lambda-local-2.0.3/src/build/lambdalocal.js_fast,CWE-XX,Exited 1,nan,nan,3.548,failed,failed,
results/fast/zeroday/2024-11-14-FAST_44_out_v2/skn0tt-lambda-local-2.0.3/src/build/cli.js_fast,CWE-XX,Exited 0,1.678,0.,1.678,failed,failed,
results/fast/zeroday/2024-11-14-FAST_44_out_v2/skn0tt-lambda-local-2.0.3/src/build/lib/utils.js_fast,CWE-XX,Exited 0,2.025,0.,2.025,failed,failed,
results/fast/zeroday/2024-11-14-FAST_44_out_v2/skn0tt-lambda-local-2.0.3/src/build/lib/streaming.js_fast,CWE-XX,Exited 0,1.285,0.,1.285,failed,failed,
results/fast/zeroday/2024-11-14-FAST_44_out_v2/skn0tt-lambda-local-2.0.3/src/build/lib/context.js_fast,CWE-XX,Exited 0,2.218,0.,2.218,failed,failed,
results/fast/zeroday/2024-11-14-FAST_44_out_v2/skn0tt-lambda-local-2.0.3/src/build/lib/mute.js_fast,CWE-XX,Exited 0,0.856,0.,0.856,failed,failed,
results/fast/zeroday/2024-11-14-FAST_44_out_v2/blakeembrey-template-1.1.0/src/dist/index.js_fast,CWE-XX,Exited 0,0.84,0.,0.84,failed,failed,
results/fast/zeroday/2024-11-14-FAST_44_out_v2/jsrsasign-util-1.0.5/src/lib/jsrsasign-util.js_fast,CWE-XX,Exited 0,1.241,0.,1.241,failed,failed,
results/fast/zeroday/2024-11-14-FAST_44_out_v2/jsrsasign-util-1.0.5/src/lib/header.js_fast,CWE-XX,Exited 0,0.703,0.,0.703,failed,failed,
results/fast/zeroday/2024-11-14-FAST_44_out_v2/jsrsasign-util-1.0.5/src/lib/footer.js_fast,CWE-XX,Exited 0,0.595,0.,0.595,failed,failed,
results/fast/zeroday/2024-11-14-FAST_44_out_v2/gettext.js-2.0.0/src/gulpfile.js_fast,CWE-XX,Exited 0,1.083,0.,1.083,failed,failed,
results/fast/zeroday/2024-11-14-FAST_44_out_v2/gettext.js-2.0.0/src/dist/gettext.cjs.min.js_fast,CWE-XX,Exited 0,1.71,0.,1.71,failed,failed,
results/fast/zeroday/2024-11-14-FAST_44_out_v2/gettext.js-2.0.0/src/dist/gettext.amd.min.js_fast,CWE-XX,Exited 0,1.035,0.,1.035,failed,failed,
